球団 , 選手名 , 守備 , 生年月日 , 身長 , 体重
巨人 , 吉川　大幾 , 内野手 , 1992/08/21 , 175 , 78
巨人 , 増田　大輝 , 内野手 , 1993/07/29 , 172 , 68
巨人 , 比嘉　賢伸 , 内野手 , 2000/01/12 , 180 , 82
巨人 , 平間　隼人 , 内野手 , 1996/12/16 , 173 , 75
巨人 , 陽　岱鋼 , 外野手 , 1987/01/17 , 184 , 89
巨人 , 山川　和大 , 投手 , 1995/01/04 , 166 , 74
巨人 , 笠井　駿 , 外野手 , 1995/04/20 , 180 , 80
巨人 , 広畑　塁 , 捕手 , 1995/06/17 , 177 , 72
巨人 , 中島　宏之 , 内野手 , 1982/07/31 , 180 , 90
巨人 , 坂本　勇人 , 内野手 , 1988/12/14 , 186 , 85
巨人 , 加藤　壮太 , 外野手 , 1998/04/15 , 188 , 90
巨人 , 小山　翔平 , 捕手 , 1996/03/25 , 170 , 70
巨人 , 折下　光輝 , 内野手 , 2000/02/14 , 177 , 86
巨人 , 丸　佳浩 , 外野手 , 1989/04/11 , 177 , 94
巨人 , 八百板　卓丸 , 外野手 , 1997/01/17 , 180 , 82
巨人 , 亀井　善行 , 外野手 , 1982/07/28 , 178 , 82
巨人 , 高山　竜太朗 , 捕手 , 1995/02/21 , 186 , 87
巨人 , 髙井　俊 , 投手 , 1995/08/22 , 180 , 86
巨人 , 平井　快青 , 投手 , 2000/09/12 , 184 , 80
巨人 , デラロサ , 投手 , 1989/03/04 , 183 , 95
巨人 , 谷岡　竜平 , 投手 , 1996/03/21 , 181 , 87
巨人 , 戸郷　翔征 , 投手 , 2000/04/04 , 186 , 75
巨人 , 巽　大介 , 投手 , 1997/04/26 , 183 , 86
巨人 , 澤村　拓一 , 投手 , 1988/04/03 , 184 , 102
巨人 , 山上　信吾 , 投手 , 1999/09/21 , 183 , 75
巨人 , 大竹　寛 , 投手 , 1983/05/21 , 184 , 96
巨人 , 田中　豊樹 , 投手 , 1993/12/01 , 180 , 98
巨人 , 菅野　智之 , 投手 , 1989/10/11 , 186 , 92
巨人 , 田中　優大 , 投手 , 1999/09/14 , 185 , 81
巨人 , サンチェス , 投手 , 1989/11/28 , 185 , 88
巨人 , 橋本　篤郎 , 投手 , 1998/02/24 , 179 , 85
巨人 , 黒田　響生 , 内野手 , 2000/07/21 , 183 , 80
巨人 , 岩隈　久志 , 投手 , 1981/04/12 , 190 , 95
巨人 , 小林　誠司 , 捕手 , 1989/06/07 , 178 , 86
巨人 , 荒井　颯太 , 外野手 , 1999/09/27 , 190 , 98
巨人 , 野上　亮磨 , 投手 , 1987/06/15 , 177 , 77
巨人 , 與那原　大剛 , 投手 , 1998/03/09 , 189 , 90
巨人 , ディプラン , 投手 , 1993/12/30 , 190 , 81
巨人 , 大城　卓三 , 捕手 , 1993/02/11 , 187 , 90
巨人 , ラモス , 投手 , 1996/04/27 , 185 , 86
巨人 , 岡本　和真 , 内野手 , 1996/06/30 , 185 , 96
巨人 , 髙橋　優貴 , 投手 , 1997/02/01 , 178 , 82
巨人 , ウレーニャ , 内野手 , 1999/05/27 , 183 , 79
巨人 , 炭谷　銀仁朗 , 捕手 , 1987/07/19 , 181 , 98
巨人 , 田口　麗斗 , 投手 , 1995/09/14 , 171 , 83
巨人 , 吉川　尚輝 , 内野手 , 1995/02/08 , 177 , 78
巨人 , 鍵谷　陽平 , 投手 , 1990/09/23 , 178 , 86
巨人 , 畠　世周 , 投手 , 1994/05/31 , 186 , 82
巨人 , 堀田　賢慎 , 投手 , 2001/05/21 , 185 , 80
巨人 , 太田　龍 , 投手 , 1998/11/15 , 190 , 94
巨人 , 桜井　俊貴 , 投手 , 1993/10/21 , 182 , 89
巨人 , 石川　慎吾 , 外野手 , 1993/04/27 , 178 , 80
巨人 , 若林　晃弘 , 内野手 , 1993/08/26 , 180 , 77
巨人 , 岸田　行倫 , 捕手 , 1996/10/10 , 176 , 80
巨人 , 立岡　宗一郎 , 外野手 , 1990/05/18 , 181 , 82
巨人 , 古川　侑利 , 投手 , 1995/09/08 , 178 , 86
巨人 , 中川　皓太 , 投手 , 1994/02/24 , 183 , 86
巨人 , メルセデス , 投手 , 1994/03/08 , 188 , 82
巨人 , 重信　慎之介 , 外野手 , 1993/04/17 , 173 , 74
巨人 , モタ , 外野手 , 1996/01/03 , 188 , 98
巨人 , 今村　信貴 , 投手 , 1994/03/15 , 180 , 88
巨人 , 鍬原　拓也 , 投手 , 1996/03/26 , 178 , 85
巨人 , 藤岡　貴裕 , 投手 , 1989/07/17 , 182 , 93
巨人 , ウィーラー , 内野手 , 1987/01/16 , 178 , 100
巨人 , ビエイラ , 投手 , 1993/01/07 , 193 , 113
巨人 , 戸根　千明 , 投手 , 1992/10/17 , 174 , 100
巨人 , 田中　俊太 , 内野手 , 1993/08/18 , 178 , 82
巨人 , 北村　拓己 , 内野手 , 1995/08/29 , 181 , 85
巨人 , 髙田　萌生 , 投手 , 1998/07/04 , 178 , 83
巨人 , 直江　大輔 , 投手 , 2000/06/20 , 184 , 77
巨人 , 山本　泰寛 , 内野手 , 1993/10/10 , 176 , 76
巨人 , 高木　京介 , 投手 , 1989/09/05 , 183 , 90
巨人 , 宮國　椋丞 , 投手 , 1992/04/17 , 186 , 92
巨人 , 松原　聖弥 , 外野手 , 1995/01/26 , 173 , 72
巨人 , 菊田　拡和 , 内野手 , 2001/07/23 , 182 , 94
巨人 , 増田　陸 , 内野手 , 2000/06/17 , 178 , 85
巨人 , 横川　凱 , 投手 , 2000/08/30 , 190 , 95
巨人 , 田原　誠次 , 投手 , 1989/09/02 , 181 , 85
巨人 , 大江　竜聖 , 投手 , 1999/01/15 , 173 , 78
巨人 , 松井　義弥 , 内野手 , 2000/06/18 , 191 , 90
巨人 , 村上　海斗 , 外野手 , 1995/07/07 , 189 , 95
巨人 , 山瀬　慎之助 , 捕手 , 2001/05/04 , 177 , 82
巨人 , 田中　貴也 , 捕手 , 1992/08/27 , 178 , 85
巨人 , パーラ , 外野手 , 1987/05/06 , 180 , 95
巨人 , 井上　温大 , 投手 , 2001/05/13 , 175 , 72
巨人 , 沼田　翔平 , 投手 , 2000/06/24 , 175 , 65
巨人 , 湯浅　大 , 内野手 , 2000/01/24 , 172 , 70
巨人 , 加藤　脩平 , 外野手 , 1999/03/28 , 178 , 79
巨人 , 堀岡　隼人 , 投手 , 1998/09/11 , 183 , 87
巨人 , 伊藤　海斗 , 外野手 , 2001/04/02 , 187 , 88
巨人 , 山下　航汰 , 外野手 , 2000/11/15 , 174 , 83
DeNA,選手名 , 守備 , 生年月日 , 身長 , 体重
DeNA,宮本　秀明 , 外野手 , 1996/07/24 , 178 , 86
DeNA,中井　大介 , 内野手 , 1989/11/27 , 183 , 88
DeNA,桑原　将志 , 外野手 , 1993/07/21 , 174 , 78
DeNA,ロペス , 内野手 , 1983/11/24 , 183 , 103
DeNA,梶谷　隆幸 , 外野手 , 1988/08/28 , 180 , 88
DeNA,伊藤　裕季也 , 内野手 , 1996/08/30 , 182 , 93
DeNA,倉本　寿彦 , 内野手 , 1991/01/07 , 180 , 82
DeNA,森　敬斗 , 内野手 , 2002/01/28 , 175 , 75
DeNA,神里　和毅 , 外野手 , 1994/01/17 , 179 , 81
DeNA,大和 , 内野手 , 1987/11/05 , 177 , 72
DeNA,戸柱　恭孝 , 捕手 , 1990/04/11 , 179 , 90
DeNA,東　克樹 , 投手 , 1995/11/29 , 170 , 76
DeNA,阪口　皓亮 , 投手 , 1999/08/15 , 187 , 83
DeNA,伊勢　大夢 , 投手 , 1998/03/07 , 182 , 90
DeNA,石田　健大 , 投手 , 1993/03/01 , 180 , 85
DeNA,井納　翔一 , 投手 , 1986/05/01 , 188 , 94
DeNA,大貫　晋一 , 投手 , 1994/02/03 , 181 , 73
DeNA,三嶋　一輝 , 投手 , 1990/05/07 , 176 , 80
DeNA,山﨑　康晃 , 投手 , 1992/10/02 , 179 , 88
DeNA,坂本　裕哉 , 投手 , 1997/07/28 , 180 , 85
DeNA,今永　昇太 , 投手 , 1993/09/01 , 178 , 85
DeNA,オースティン , 内野手 , 1991/09/06 , 188 , 100
DeNA,齋藤　俊介 , 投手 , 1994/01/07 , 176 , 85
DeNA,濵口　遥大 , 投手 , 1995/03/16 , 173 , 80
DeNA,上茶谷　大河 , 投手 , 1996/08/31 , 182 , 83
DeNA,勝又　温史 , 投手 , 2000/05/22 , 180 , 86
DeNA,伊藤　光 , 捕手 , 1989/04/23 , 180 , 83
DeNA,飯塚　悟史 , 投手 , 1996/10/11 , 188 , 90
DeNA,柴田　竜拓 , 内野手 , 1993/12/16 , 167 , 68
DeNA,益子　京右 , 捕手 , 2000/12/27 , 176 , 83
DeNA,乙坂　智 , 外野手 , 1994/01/06 , 183 , 83
DeNA,平田　真吾 , 投手 , 1989/08/29 , 182 , 85
DeNA,三上　朋也 , 投手 , 1989/04/10 , 190 , 90
DeNA,髙城　俊人 , 捕手 , 1993/05/03 , 176 , 83
DeNA,楠本　泰史 , 外野手 , 1995/07/07 , 180 , 77
DeNA,山下　幸輝 , 内野手 , 1993/01/31 , 173 , 80
DeNA,嶺井　博希 , 捕手 , 1991/06/04 , 175 , 85
DeNA,飛雄馬 , 内野手 , 1991/03/17 , 181 , 92
DeNA,櫻井　周斗 , 投手 , 1999/06/25 , 178 , 86
DeNA,石川　雄洋 , 内野手 , 1986/07/10 , 183 , 78
DeNA,進藤　拓也 , 投手 , 1992/07/16 , 186 , 90
DeNA,佐野　恵太 , 内野手 , 1994/11/28 , 178 , 88
DeNA,ピープルズ , 投手 , 1991/09/05 , 196 , 86
DeNA,田中　健二朗 , 投手 , 1989/09/18 , 179 , 80
DeNA,砂田　毅樹 , 投手 , 1995/07/20 , 180 , 85
DeNA,京山　将弥 , 投手 , 1998/07/04 , 182 , 77
DeNA,赤間　謙 , 投手 , 1990/11/14 , 180 , 87
DeNA,山本　祐大 , 捕手 , 1998/09/11 , 180 , 82
DeNA,宮﨑　敏郎 , 内野手 , 1988/12/12 , 172 , 85
DeNA,細川　成也 , 外野手 , 1998/08/04 , 179 , 93
DeNA,パットン , 投手 , 1988/02/20 , 185 , 91
DeNA,浅田　将汰 , 投手 , 2001/04/23 , 182 , 87
DeNA,田部　隼人 , 内野手 , 2001/12/22 , 185 , 83
DeNA,濱矢　廣大 , 投手 , 1993/02/27 , 185 , 90
DeNA,東妻　純平 , 捕手 , 2001/07/03 , 172 , 77
DeNA,武藤　祐太 , 投手 , 1989/06/14 , 178 , 85
DeNA,平良　拳太郎 , 投手 , 1995/07/12 , 180 , 80
DeNA,知野　直人 , 内野手 , 1999/02/16 , 182 , 85
DeNA,蝦名　達夫 , 外野手 , 1997/09/20 , 185 , 88
DeNA,エスコバー , 投手 , 1992/04/22 , 188 , 102
DeNA,関根　大気 , 外野手 , 1995/06/28 , 173 , 78
DeNA,百瀬　大騎 , 内野手 , 1997/03/11 , 178 , 78
DeNA,古村　徹 , 投手 , 1993/10/20 , 180 , 80
DeNA,藤岡　好明 , 投手 , 1985/03/12 , 177 , 81
DeNA,国吉　佑樹 , 投手 , 1991/09/24 , 196 , 106
DeNA,中川　虎大 , 投手 , 1999/10/02 , 178 , 79
DeNA,笠井　崇正 , 投手 , 1994/08/07 , 179 , 90
DeNA,ソト , 内野手 , 1989/02/28 , 185 , 97
DeNA,宮城　滝太 , 投手 , 2000/07/15 , 181 , 73
DeNA,コルデロ , 投手 , 1997/12/18 , 189 , 88
DeNA,デラロサ , 内野手 , 1996/01/24 , 188 , 92
DeNA,ディアス , 投手 , 1999/06/10 , 191 , 93
阪神 , 選手名 , 守備 , 生年月日 , 身長 , 体重
阪神 , 木浪　聖也 , 内野手 , 1994/06/15 , 179 , 81
阪神 , 上本　博紀 , 内野手 , 1986/07/04 , 173 , 66
阪神 , 北條　史也 , 内野手 , 1994/07/29 , 177 , 79
阪神 , 大山　悠輔 , 内野手 , 1994/12/19 , 181 , 88
阪神 , 熊谷　敬宥 , 内野手 , 1995/11/10 , 175 , 68
阪神 , 近本　光司 , 外野手 , 1994/11/09 , 171 , 72
阪神 , 糸井　嘉男 , 外野手 , 1981/07/31 , 188 , 99
阪神 , 福留　孝介 , 外野手 , 1977/04/26 , 182 , 92
阪神 , 髙山　俊 , 外野手 , 1993/04/18 , 181 , 91
阪神 , 坂本　誠志郎 , 捕手 , 1993/11/10 , 176 , 80
阪神 , 能見　篤史 , 投手 , 1979/05/28 , 180 , 74
阪神 , 西　純矢 , 投手 , 2001/09/13 , 184 , 88
阪神 , 西　勇輝 , 投手 , 1990/11/10 , 181 , 82
阪神 , 岩貞　祐太 , 投手 , 1991/09/05 , 183 , 82
阪神 , 馬場　皐輔 , 投手 , 1995/05/18 , 180 , 94
阪神 , 藤浪　晋太郎 , 投手 , 1994/04/12 , 197 , 100
阪神 , 中田　賢一 , 投手 , 1982/05/11 , 181 , 85
阪神 , 岩田　稔 , 投手 , 1983/10/31 , 179 , 95
阪神 , 藤川　球児 , 投手 , 1980/07/21 , 185 , 90
阪神 , 江越　大賀 , 外野手 , 1993/03/12 , 182 , 81
阪神 , 呂　彦青 , 投手 , 1996/03/10 , 178 , 72
阪神 , 尾仲　祐哉 , 投手 , 1995/01/31 , 173 , 73
阪神 , 小野　泰己 , 投手 , 1994/05/30 , 186 , 78
阪神 , 髙橋　遥人 , 投手 , 1995/11/07 , 181 , 82
阪神 , 高野　圭佑 , 投手 , 1991/12/28 , 178 , 85
阪神 , マルテ , 内野手 , 1991/06/21 , 185 , 102
阪神 , 井上　広大 , 外野手 , 2001/08/12 , 187 , 97
阪神 , 糸原　健斗 , 内野手 , 1992/11/11 , 175 , 81
阪神 , 谷川　昌希 , 投手 , 1992/10/06 , 175 , 84
阪神 , 才木　浩人 , 投手 , 1998/11/07 , 189 , 86
阪神 , 浜地　真澄 , 投手 , 1998/05/25 , 185 , 90
阪神 , 及川　雅貴 , 投手 , 2001/04/18 , 183 , 74
阪神 , 小幡　竜平 , 内野手 , 2000/09/21 , 184 , 74
阪神 , 長坂　拳弥 , 捕手 , 1994/04/28 , 173 , 76
阪神 , 福永　春吾 , 投手 , 1994/05/14 , 185 , 97
阪神 , ボーア , 内野手 , 1988/05/28 , 193 , 122
阪神 , エドワーズ , 投手 , 1988/01/08 , 196 , 108
阪神 , 守屋　功輝 , 投手 , 1993/11/25 , 184 , 88
阪神 , 梅野　隆太郎 , 捕手 , 1991/06/17 , 173 , 77
阪神 , 遠藤　成 , 内野手 , 2001/09/19 , 178 , 84
阪神 , 秋山　拓巳 , 投手 , 1991/04/26 , 188 , 101
阪神 , 川原　陸 , 投手 , 2000/12/12 , 186 , 86
阪神 , 齋藤　友貴哉 , 投手 , 1995/01/05 , 184 , 92
阪神 , ガンケル , 投手 , 1991/12/30 , 196 , 102
阪神 , 青柳　晃洋 , 投手 , 1993/12/11 , 183 , 84
阪神 , 伊藤　隼太 , 外野手 , 1989/05/08 , 177 , 82
阪神 , サンズ , 外野手 , 1987/09/28 , 193 , 102
阪神 , 島田　海吏 , 外野手 , 1996/02/06 , 176 , 68
阪神 , 陽川　尚将 , 内野手 , 1991/07/17 , 180 , 89
阪神 , 飯田　優也 , 投手 , 1990/11/27 , 187 , 92
阪神 , 岡﨑　太一 , 捕手 , 1983/06/20 , 180 , 82
阪神 , 荒木　郁也 , 内野手 , 1988/04/25 , 183 , 73
阪神 , 藤田　健斗 , 捕手 , 2001/10/18 , 173 , 73
阪神 , 中谷　将大 , 外野手 , 1993/01/05 , 187 , 96
阪神 , 望月　惇志 , 投手 , 1997/08/02 , 190 , 90
阪神 , 植田　海 , 内野手 , 1996/04/19 , 175 , 71
阪神 , 板山　祐太郎 , 外野手 , 1994/03/27 , 180 , 80
阪神 , 桑原　謙太朗 , 投手 , 1985/10/29 , 184 , 90
阪神 , 湯浅　京己 , 投手 , 1999/07/17 , 183 , 86
阪神 , 小川　一平 , 投手 , 1997/06/03 , 182 , 80
阪神 , 岩崎　優 , 投手 , 1991/06/19 , 185 , 88
阪神 , 俊介 , 外野手 , 1987/08/17 , 178 , 77
阪神 , 島本　浩也 , 投手 , 1993/02/14 , 176 , 75
阪神 , スアレス , 投手 , 1991/03/01 , 188 , 95
阪神 , ガルシア , 投手 , 1989/08/02 , 190 , 104
阪神 , 伊藤　和雄 , 投手 , 1989/12/13 , 186 , 95
阪神 , 原口　文仁 , 捕手 , 1992/03/03 , 182 , 93
阪神 , 片山　雄哉 , 捕手 , 1994/06/18 , 177 , 91
阪神 , 横山　雄哉 , 投手 , 1994/02/21 , 183 , 84
阪神 , 石井　将希 , 投手 , 1995/07/12 , 180 , 88
阪神 , 藤谷　洸介 , 内野手 , 1996/02/12 , 194 , 88
阪神 , 牧　丈一郎 , 投手 , 1999/09/23 , 181 , 86
阪神 , 小野寺　暖 , 外野手 , 1998/03/17 , 183 , 82
阪神 , 奥山　皓太 , 外野手 , 1997/09/03 , 186 , 93
広島 , 選手名 , 守備 , 生年月日 , 身長 , 体重
広島 , 曽根　海成 , 内野手 , 1995/04/24 , 175 , 74
広島 , 上本　崇司 , 内野手 , 1990/08/22 , 170 , 71
広島 , 鈴木　誠也 , 外野手 , 1994/08/18 , 181 , 98
広島 , 田中　広輔 , 内野手 , 1989/07/03 , 171 , 84
広島 , 小窪　哲也 , 内野手 , 1985/04/12 , 175 , 85
広島 , 長野　久義 , 外野手 , 1984/12/06 , 180 , 85
広島 , 安部　友裕 , 内野手 , 1989/06/24 , 181 , 84
広島 , 堂林　翔太 , 内野手 , 1991/08/17 , 183 , 88
広島 , ピレラ , 外野手 , 1989/11/21 , 182 , 99
広島 , 九里　亜蓮 , 投手 , 1991/09/01 , 187 , 95
広島 , 矢崎　拓也 , 投手 , 1994/12/31 , 176 , 90
広島 , 大瀬良　大地 , 投手 , 1991/06/17 , 187 , 95
広島 , 今村　猛 , 投手 , 1991/04/17 , 183 , 99
広島 , 岡田　明丈 , 投手 , 1993/10/18 , 185 , 92
広島 , 森下　暢仁 , 投手 , 1997/08/25 , 180 , 76
広島 , 野村　祐輔 , 投手 , 1989/06/24 , 177 , 89
広島 , 中﨑　翔太 , 投手 , 1992/08/10 , 186 , 99
広島 , 中村　奨成 , 捕手 , 1999/06/06 , 181 , 78
広島 , 薮田　和樹 , 投手 , 1992/08/07 , 188 , 86
広島 , 中田　廉 , 投手 , 1990/07/21 , 189 , 95
広島 , 會澤　翼 , 捕手 , 1988/04/13 , 177 , 91
広島 , 床田　寛樹 , 投手 , 1995/03/01 , 181 , 88
広島 , ケムナ　誠 , 投手 , 1995/06/05 , 190 , 95
広島 , 一岡　竜司 , 投手 , 1991/01/11 , 179 , 81
広島 , 石原　慶幸 , 捕手 , 1979/09/07 , 177 , 90
広島 , 白濱　裕太 , 捕手 , 1985/10/31 , 180 , 90
広島 , 菊池　涼介 , 内野手 , 1990/03/11 , 171 , 72
広島 , 高橋　昂也 , 投手 , 1998/09/27 , 181 , 90
広島 , 三好　匠 , 内野手 , 1993/06/07 , 174 , 84
広島 , 塹江　敦哉 , 投手 , 1997/02/21 , 178 , 87
広島 , 野間　峻祥 , 外野手 , 1993/01/28 , 180 , 89
広島 , 宇草　孔基 , 外野手 , 1997/04/17 , 185 , 83
広島 , 菊池　保則 , 投手 , 1989/09/18 , 180 , 103
広島 , 磯村　嘉孝 , 捕手 , 1992/11/01 , 178 , 90
広島 , 藤井　皓哉 , 投手 , 1996/07/29 , 181 , 86
広島 , Ｋ．ジョンソン , 投手 , 1984/10/14 , 193 , 95
広島 , 島内　颯太郎 , 投手 , 1996/10/14 , 180 , 83
広島 , 林　晃汰 , 内野手 , 2000/11/16 , 182 , 94
広島 , 桒原　樹 , 内野手 , 1996/07/04 , 180 , 87
広島 , 高橋　樹也 , 投手 , 1997/06/21 , 176 , 82
広島 , 山口　翔 , 投手 , 1999/04/28 , 181 , 82
広島 , アドゥワ　誠 , 投手 , 1998/10/02 , 196 , 85
広島 , 正隨　優弥 , 外野手 , 1996/04/02 , 180 , 96
広島 , 髙橋　大樹 , 外野手 , 1994/05/11 , 181 , 92
広島 , 小園　海斗 , 内野手 , 2000/06/07 , 178 , 84
広島 , 鈴木　寛人 , 投手 , 2001/10/07 , 186 , 79
広島 , 戸田　隆矢 , 投手 , 1993/06/10 , 181 , 84
広島 , 韮澤　雄也 , 内野手 , 2001/05/20 , 178 , 80
広島 , 松山　竜平 , 外野手 , 1985/09/18 , 176 , 96
広島 , 中神　拓都 , 内野手 , 2000/05/29 , 175 , 90
広島 , 田中　法彦 , 投手 , 2000/10/19 , 173 , 83
広島 , ＤＪ．ジョンソン , 投手 , 1989/08/30 , 193 , 104
広島 , 大盛　穂 , 外野手 , 1996/08/31 , 180 , 71
広島 , 永井　敦士 , 外野手 , 2000/01/10 , 178 , 88
広島 , 坂倉　将吾 , 捕手 , 1998/05/29 , 176 , 86
広島 , 石原　貴規 , 捕手 , 1998/02/03 , 173 , 75
